model,dataset,horizon,run_name,ours_mse,paper_mse,delta_mse,ours_mae,paper_mae,delta_mae,wall_clock_min
dlinear,illness,24,dlinear_illness_24,1.9045,2.215,-0.3105,0.9671,1.081,-0.1139,0.4
dlinear,illness,36,dlinear_illness_36,2.1469,1.963,0.1839,1.0253,0.963,0.0623,0.4
dlinear,illness,48,dlinear_illness_48,2.1706,2.13,0.0406,1.0371,1.024,0.0131,0.4
dlinear,illness,60,dlinear_illness_60,2.3397,2.368,-0.0283,1.0889,1.096,-0.0071,0.4
patchtst,illness,24,patchtst_illness_24,1.4179,1.319,0.0989,0.7744,0.754,0.0204,1.1
patchtst,illness,24,patchtst_illness_24_ar,1.4179,1.319,0.0989,0.7744,0.754,0.0204,1.0
patchtst,illness,36,patchtst_illness_36,1.6555,1.43,0.2255,0.8425,0.834,0.0085,1.0
patchtst,illness,36,patchtst_illness_36_ar,1.525,1.43,0.095,0.8231,0.834,-0.0109,1.6
patchtst,illness,48,patchtst_illness_48,1.6449,1.553,0.0919,0.811,0.815,-0.004,1.0
patchtst,illness,48,patchtst_illness_48_ar,1.7636,1.553,0.2106,0.8979,0.815,0.0829,1.6
patchtst,illness,60,patchtst_illness_60,1.8578,1.47,0.3878,0.9167,0.788,0.1287,1.0
patchtst,illness,60,patchtst_illness_60_ar,1.7221,1.47,0.2521,0.9066,0.788,0.1186,2.2
